Date,sector,Rank,value
3/16/2020,Industrials,Rank H: 3 Year Performance,0.1789
3/16/2020,Communication Services,Rank H: 3 Year Performance,-0.527
3/16/2020,Financials,Rank H: 3 Year Performance,0.6455
3/16/2020,Materials,Rank H: 3 Year Performance,-0.0719
3/16/2020,Energy,Rank H: 3 Year Performance,0.152
3/16/2020,Information Technology,Rank I: 5 Year Performance,0.1695
3/16/2020,Utilities,Rank I: 5 Year Performance,0.2701
3/16/2020,Consumer Discretionary,Rank I: 5 Year Performance,0.0206
3/16/2020,Health Care,Rank I: 5 Year Performance,-0.0772
3/16/2020,Consumer Staples,Rank I: 5 Year Performance,0.0906
3/16/2020,Financials,Rank I: 5 Year Performance,0.3102
3/16/2020,Industrials,Rank I: 5 Year Performance,0.3571
3/16/2020,Communication Services,Rank I: 5 Year Performance,-0.5592
3/16/2020,Materials,Rank I: 5 Year Performance,1.1283
3/16/2020,Energy,Rank I: 5 Year Performance,0.1576
3/16/2020,Information Technology,Rank J: 10 Year Performance,1.0626
3/16/2020,Consumer Discretionary,Rank J: 10 Year Performance,1.8564
3/16/2020,Health Care,Rank J: 10 Year Performance,0.4882
3/16/2020,Consumer Staples,Rank J: 10 Year Performance,0.4469
3/16/2020,Utilities,Rank J: 10 Year Performance,1.0028
3/16/2020,Industrials,Rank J: 10 Year Performance,0.9314
3/16/2020,Financials,Rank J: 10 Year Performance,2.2123
3/16/2020,Communication Services,Rank J: 10 Year Performance,-0.4446
3/16/2020,Materials,Rank J: 10 Year Performance,2.9747
3/16/2020,Energy,Rank J: 10 Year Performance,0.8245
